@relation 'Horse Colic'

@attribute surgery {no,yes}
@attribute age {adult,young}
@attribute hospital_number numeric
@attribute rectal_temp numeric
@attribute pulse numeric
@attribute respiratory_rate numeric
@attribute temp_of_extremities {cool,normal,cold,warm}
@attribute peripheral_pulse {reduced,normal,absent,increased}
@attribute mucous_membrane {pale_cyanotic,pale_pink,dark_cyanotic,normal_pink,bright_red,bright_pink}
@attribute capillary_refill_time {more_3_sec,less_3_sec,3}
@attribute pain {extreme_pain,mild_pain,depressed,severe_pain,alert}
@attribute peristalsis {absent,hypomotile,hypermotile,normal}
@attribute abdominal_distention {severe,slight,none,moderate}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {more_1_liter,none,less_1_liter}
@attribute nasogastric_reflux_ph numeric
@attribute rectal_exam_feces {decreased,absent,normal,increased}
@attribute abdomen {distend_large,other,normal,firm,distend_small}
@attribute packed_cell_volume numeric
@attribute total_protein numeric
@attribute abdomo_appearance {cloudy,serosanguinous,clear}
@attribute abdomo_protein numeric
@attribute outcome {died,euthanized,lived}
@attribute surgical_lesion {no,yes}
@attribute lesion_1 {0,300,400,1111,1124,1400,2111,2112,2113,2124,2205,2206,2207,2208,2209,2300,2305,2322,3025,3111,3112,3113,3115,3124,3133,3205,3207,3209,3300,3400,4111,4122,4124,4205,4206,4207,4300,5000,5110,5111,5124,5205,5206,5400,6111,6112,6209,7111,7113,7209,7400,8300,8400,8405,9000,9400,11124,11300,11400,12208,21110,31110,41110}
@attribute lesion_2 {0,1400,2208,3111,3112,3205,6112,7111}
@attribute lesion_3 {0,2209}
@attribute cp_data {no,yes}

@data
no,adult,530101,38.5,66,28,cool,reduced,?,more_3_sec,extreme_pain,absent,severe,?,?,?,decreased,distend_large,45,8.4,?,?,died,no,11300,0,0,no
yes,adult,534817,39.2,88,20,?,?,pale_cyanotic,less_3_sec,mild_pain,absent,slight,?,?,?,absent,other,50,85,cloudy,2,euthanized,no,2208,0,0,no
no,adult,530334,38.3,40,24,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,none,?,?,?,normal,normal,33,6.7,?,?,lived,no,0,0,0,yes
yes,young,5290409,39.1,164,84,cold,normal,dark_cyanotic,more_3_sec,depressed,absent,severe,none,more_1_liter,5,decreased,?,48,7.2,serosanguinous,5.3,died,yes,2208,0,0,yes
no,adult,530255,37.3,104,35,?,?,dark_cyanotic,more_3_sec,?,?,?,?,?,?,?,?,74,7.4,?,?,died,no,4300,0,0,no
no,adult,528355,?,?,?,warm,normal,pale_pink,less_3_sec,depressed,hypomotile,slight,slight,none,?,decreased,firm,?,?,?,?,lived,no,0,0,0,no
yes,adult,526802,37.9,48,16,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,none,none,?,decreased,distend_large,37,7,?,?,lived,yes,3124,0,0,no
yes,adult,529607,?,60,?,cool,?,?,less_3_sec,?,absent,slight,slight,none,?,decreased,distend_small,44,8.3,?,?,died,yes,2208,0,0,no
no,adult,530051,?,80,36,cool,absent,pale_pink,less_3_sec,severe_pain,absent,severe,slight,none,?,decreased,distend_large,38,6.2,?,?,euthanized,yes,3205,0,0,no
no,young,5299629,38.3,90,?,normal,?,normal_pink,less_3_sec,extreme_pain,hypomotile,none,slight,none,?,decreased,?,40,6.2,clear,2.2,lived,no,0,0,0,yes
yes,adult,528548,38.1,66,12,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,3,increased,distend_large,44,6,cloudy,3.6,lived,yes,2124,0,0,yes
no,adult,527927,39.1,72,52,warm,?,bright_pink,less_3_sec,depressed,hypermotile,slight,none,none,?,absent,distend_small,50,7.8,?,?,lived,yes,2111,0,0,no
yes,adult,528031,37.2,42,12,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,none,?,absent,distend_large,?,7,?,?,lived,no,4124,0,0,no
no,young,5291329,38,92,28,normal,normal,bright_pink,less_3_sec,alert,hypomotile,slight,significant,?,7.2,normal,normal,37,6.1,clear,?,died,no,0,0,0,yes
yes,adult,534917,38.2,76,28,cool,normal,normal_pink,less_3_sec,mild_pain,absent,none,slight,more_1_liter,?,absent,distend_small,46,81,clear,2,lived,yes,2112,0,0,no
yes,adult,530233,37.6,96,48,cool,normal,pale_cyanotic,less_3_sec,extreme_pain,hypomotile,moderate,slight,less_1_liter,4.5,absent,?,45,6.8,?,?,died,yes,3207,0,0,no
yes,young,5301219,?,128,36,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,significant,?,?,absent,distend_large,53,7.8,serosanguinous,4.7,died,no,1400,0,0,yes
no,adult,526639,37.5,48,24,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,no,0,0,0,no
yes,adult,5290481,37.6,64,21,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,none,none,none,?,increased,distend_large,40,7,clear,?,lived,yes,4205,0,0,yes
no,adult,532110,39.4,110,35,cold,reduced,dark_cyanotic,?,?,hypomotile,moderate,?,?,?,?,?,55,8.7,?,?,lived,no,0,0,0,no
yes,adult,530157,39.9,72,60,normal,normal,bright_red,more_3_sec,extreme_pain,absent,severe,significant,none,?,absent,distend_small,46,6.1,cloudy,?,lived,yes,2111,0,0,no
no,adult,529340,38.4,48,16,normal,?,normal_pink,less_3_sec,alert,hypomotile,none,slight,less_1_liter,5.5,absent,firm,49,6.8,?,?,lived,no,0,0,0,no
yes,adult,521681,38.6,42,34,warm,normal,pale_cyanotic,?,depressed,hypomotile,none,?,?,?,normal,?,48,7.2,?,?,lived,yes,3111,0,0,no
yes,young,534998,38.3,130,60,?,reduced,?,less_3_sec,depressed,absent,?,?,?,?,?,?,50,70,?,?,lived,yes,3111,0,0,no
yes,adult,533692,38.1,60,12,cool,reduced,pale_pink,less_3_sec,?,absent,moderate,significant,more_1_liter,2,?,?,51,65,?,?,lived,yes,3111,0,0,no
no,adult,529518,37.8,60,42,?,?,?,less_3_sec,?,?,?,?,?,?,?,?,?,?,?,?,lived,no,0,0,0,no
